Ticker_Subsect;value_Subsect;screener
DJUSPT ;0,07;Força Més
DJUSHV ;0,08;Força Més
DJUSCC ;0,1;Força Més
DJUSRU ;0,26;Força Més
DJUSMS ;0,38;Força Més
DJUSSD ;0,56;Força Més
DJUSAM ;0,66;Força Més
DJUSFO ;0,7;Força Més
DJUSFP ;0,7;Força Més
DJUSST ;0,78;Força Més
DJUSOL ;0,86;Força Més
DJUSVN ;0,94;Força Més
DJUSCL ;1,08;Força Més
DJUSBD ;1,17;Força Més
DJUSDB ;1,55;Força Més
DJUSMG ;3,21;Força Més
DJUSPM ;4,56;Força Més
DJUSTY ;1,28;Força Més
DJUSTB ;1,24;Força Més
DJUSDN ;1,08;Força Més
DJUSAV ;0,96;Força Més
DJUSSR ;0,96;Força Més
DJUSIB ;0,74;Força Més
DJUSIV ;0,72;Força Més
DJUSHD ;0,7;Força Més
DJUSIO ;0,66;Força Més
DJUSPC ;0,54;Força Més
DJUSRN ;0,52;Força Més
DJUSRL ;0,51;Força Més
DJUSFE ;0,48;Força Més
DJUSCM ;0,48;Força Més
DJUSIP ;0,48;Força Més
DJUSID ;0,45;Força Més
DJUSDS ;0,38;Força Més
DJUSHN ;0,36;Força Més
DJUSFA ;0,27;Força Més
DJUSMR ;0,25;Força Més
DJUSIU ;0,22;Força Més
DJUSTK ;0,22;Força Més
DJUSCP ;0,15;Força Més
DJUSAI ;0,09;Força Més
DJUSDT ;0,06;Força Més
DJUSWU ;2,08;Força Més
DJUSGU ;1,48;Força Més
DJUSRB ;1,04;Força Més
DJUSMU ;0,95;Força Més
DJUSVE ;0,9;Força Més
DJUSFC ;0,7;Força Més
DJUSNS ;0,61;Força Més
DJUSHI ;0,51;Força Més
DJUSSW ;0,02;Força Més
HSIC ;19,64;Dist. Máx.
OLBK ;15;Dist. Máx.
FITBI ;14,91;Dist. Máx.
BWINB ;14,53;Dist. Máx.
HUSI-F ;24,61;Dist. Máx.
MYD ;22,93;Dist. Máx.
IQI ;20,57;Dist. Máx.
NKX ;19,75;Dist. Máx.
NID ;19,28;Dist. Máx.
USB-H ;19,21;Dist. Máx.
MUJ ;18,95;Dist. Máx.
TAP.A ;18,29;Dist. Máx.
NMO ;17,34;Dist. Máx.
IPG ;17,18;Dist. Máx.
BKN ;16,74;Dist. Máx.
MHN ;16,62;Dist. Máx.
VTN ;16,52;Dist. Máx.
PNC-P ;16,11;Dist. Máx.
PM ;15,72;Dist. Máx.
PMF ;15,32;Dist. Máx.
BAC-L ;14,76;Dist. Máx.
NQM ;14,51;Dist. Máx.
MYN ;14,34;Dist. Máx.
PNI ;14,26;Dist. Máx.
BFK ;14,23;Dist. Máx.
MYI ;13,61;Dist. Máx.
EVN ;13,38;Dist. Máx.
ETX ;13,21;Dist. Máx.
MFL ;12,91;Dist. Máx.
EIG ;12,68;Dist. Máx.
OIA ;12,19;Dist. Máx.
DSM ;11,8;Dist. Máx.
BRO ;11,69;Dist. Máx.
BTT ;11,66;Dist. Máx.
VKQ ;11,56;Dist. Máx.
MCA ;11,47;Dist. Máx.
IGI ;11,16;Dist. Máx.
RF-B ;10,82;Dist. Máx.
Y ;39,36;Valor compra
MDT ;35,52;Valor compra
LH ;23,19;Valor compra
RTN ;23,12;Valor compra
NGG ;21,2;Valor compra
